filename,distance
BA-numArg20-pbCycle0.9-14.apx,4
BA-numArg20-pbCycle0.6-1.apx,4
BA-numArg20-pbCycle0.55-16.apx,0
BA-numArg20-pbCycle0.65-5.apx,16
BA-numArg20-pbCycle0.7-12.apx,0
BA-numArg20-pbCycle0.8-2.apx,0
BA-numArg20-pbCycle0.15-14.apx,0
BA-numArg20-pbCycle0.7-10.apx,10
BA-numArg20-pbCycle0.45-9.apx,0
BA-numArg20-pbCycle0.2-14.apx,0
BA-numArg20-pbCycle0.45-14.apx,2
BA-numArg20-pbCycle0.1-4.apx,0
BA-numArg20-pbCycle0.85-14.apx,6
BA-numArg20-pbCycle0-8.apx,0
BA-numArg20-pbCycle0.4-14.apx,0
BA-numArg20-pbCycle0.35-12.apx,0
BA-numArg20-pbCycle0.85-2.apx,0
BA-numArg20-pbCycle0.85-12.apx,4
BA-numArg20-pbCycle0.25-4.apx,10
BA-numArg20-pbCycle0.1-16.apx,0
BA-numArg20-pbCycle0.9-13.apx,0
BA-numArg20-pbCycle0.2-4.apx,0
BA-numArg20-pbCycle0.4-6.apx,6
BA-numArg20-pbCycle0.25-16.apx,0
BA-numArg20-pbCycle0-12.apx,2
BA-numArg20-pbCycle0.4-11.apx,0
BA-numArg20-pbCycle0.85-4.apx,0
BA-numArg20-pbCycle0.6-13.apx,0
BA-numArg20-pbCycle0.15-10.apx,0
BA-numArg20-pbCycle0.9-3.apx,6
BA-numArg20-pbCycle0.7-13.apx,6
BA-numArg20-pbCycle0.8-14.apx,0
BA-numArg20-pbCycle0.35-16.apx,0
BA-numArg20-pbCycle0.55-1.apx,0
BA-numArg20-pbCycle0.15-8.apx,0
BA-numArg20-pbCycle0.8-15.apx,0
BA-numArg20-pbCycle0.9-12.apx,0
BA-numArg20-pbCycle0.3-1.apx,14
BA-numArg20-pbCycle0.55-10.apx,0
BA-numArg20-pbCycle0.7-2.apx,6
BA-numArg20-pbCycle0.65-11.apx,0
BA-numArg20-pbCycle0.2-8.apx,0
BA-numArg20-pbCycle0.1-14.apx,8
BA-numArg20-pbCycle0.45-8.apx,0
BA-numArg20-pbCycle0.15-16.apx,0
BA-numArg20-pbCycle0.2-5.apx,0
BA-numArg20-pbCycle0.25-15.apx,0
BA-numArg20-pbCycle0.15-13.apx,4
BA-numArg20-pbCycle0.8-9.apx,2
BA-numArg20-pbCycle0.8-0.apx,10
BA-numArg20-pbCycle0.85-0.apx,0
BA-numArg20-pbCycle0.35-13.apx,0
BA-numArg20-pbCycle0.4-12.apx,0
BA-numArg20-pbCycle0.4-16.apx,4
BA-numArg20-pbCycle0.45-4.apx,26
BA-numArg20-pbCycle0.25-11.apx,0
BA-numArg20-pbCycle0.9-11.apx,0
BA-numArg20-pbCycle0.75-11.apx,4
BA-numArg20-pbCycle0-14.apx,0
BA-numArg20-pbCycle0.15-15.apx,2
BA-numArg20-pbCycle0.3-0.apx,4
BA-numArg20-pbCycle0.2-9.apx,0
BA-numArg20-pbCycle0.5-3.apx,8
BA-numArg20-pbCycle0.45-11.apx,0
BA-numArg20-pbCycle0.15-5.apx,2
BA-numArg20-pbCycle0.25-3.apx,4
BA-numArg20-pbCycle0.2-10.apx,18
BA-numArg20-pbCycle0.9-15.apx,4
BA-numArg20-pbCycle0.2-7.apx,0
BA-numArg20-pbCycle0.2-12.apx,8
BA-numArg20-pbCycle0.75-1.apx,0
BA-numArg20-pbCycle0.75-7.apx,0
BA-numArg20-pbCycle0.85-1.apx,6
BA-numArg20-pbCycle0.35-14.apx,0
BA-numArg20-pbCycle0.6-11.apx,8
BA-numArg20-pbCycle0.5-14.apx,0
BA-numArg20-pbCycle0.5-15.apx,0
BA-numArg20-pbCycle0.25-13.apx,0
BA-numArg20-pbCycle0.25-6.apx,0
BA-numArg20-pbCycle0.3-6.apx,0
BA-numArg20-pbCycle0.7-0.apx,2
BA-numArg20-pbCycle0.1-3.apx,0
BA-numArg20-pbCycle0.9-16.apx,0
