filename,distance
debate_graph_star_10_arg_29_6453.apx,2
debate_graph_star_10_arg_29_644.apx,0
debate_graph_star_10_arg_30_2976.apx,0
debate_graph_star_10_arg_23_5223.apx,0
debate_graph_star_10_arg_28_7686.apx,0
debate_graph_star_10_arg_43_3481.apx,4
debate_graph_star_10_arg_28_5818.apx,0
debate_graph_star_10_arg_35_5494.apx,2
debate_graph_star_10_arg_35_337.apx,24
debate_graph_star_10_arg_25_2373.apx,0
debate_graph_star_10_arg_32_9852.apx,0
debate_graph_star_10_arg_25_2244.apx,0
debate_graph_star_10_arg_22_8464.apx,0
debate_graph_star_10_arg_29_6484.apx,0
debate_graph_star_10_arg_36_8346.apx,0
debate_graph_star_10_arg_36_9181.apx,4
debate_graph_star_10_arg_35_8444.apx,0
debate_graph_star_10_arg_23_4536.apx,0
debate_graph_star_10_arg_35_4906.apx,26
debate_graph_star_10_arg_36_2099.apx,0
debate_graph_star_10_arg_24_5483.apx,0
debate_graph_star_10_arg_40_2558.apx,26
debate_graph_star_10_arg_30_1558.apx,18
debate_graph_star_10_arg_33_7221.apx,22
debate_graph_star_10_arg_32_7096.apx,2
debate_graph_star_10_arg_42_7625.apx,28
debate_graph_star_10_arg_23_3889.apx,0
debate_graph_star_10_arg_33_7786.apx,10
debate_graph_star_10_arg_37_2491.apx,8
debate_graph_star_10_arg_29_222.apx,44
debate_graph_star_10_arg_37_9450.apx,0
debate_graph_star_10_arg_28_1162.apx,0
debate_graph_star_10_arg_30_1829.apx,6
debate_graph_star_11_arg_22_9385.apx,0
debate_graph_star_10_arg_37_468.apx,28
debate_graph_star_10_arg_34_3383.apx,20
debate_graph_star_10_arg_32_2534.apx,4
debate_graph_star_10_arg_31_8119.apx,22
debate_graph_star_10_arg_34_2940.apx,22
debate_graph_star_10_arg_29_5922.apx,2
debate_graph_star_10_arg_39_7329.apx,20
debate_graph_star_10_arg_36_7830.apx,46
debate_graph_star_10_arg_29_1753.apx,4
debate_graph_star_10_arg_29_491.apx,0
debate_graph_star_10_arg_28_6075.apx,14
